title,location,corp
SRE(Site Reliability Engineer),서울강남구,"(주)브레이브모바일(숨고, Soomgo)"
시스템·솔루션 엔지니어(System·Solution Engineer),서울서초구,(주)피플펀드컴퍼니
솔루션 리딩 프로젝트 수행,서울전체,오케스트로(주)
[트러스테이] DevOps Engineer,서울강남구,(주)야놀자
Cloud Native 관련 프로젝트 수행,서울전체,오케스트로(주)
백엔드 고급 개발자 (8년 이상~),서울광진구,아이엠에스모빌리티(주)
데브옵스 엔지니어(DevOps Engineer),서울서초구,(주)피플펀드컴퍼니
[이노그리드] R&D개발센터 DevOps팀 경력 채용,서울중구,(주)이노그리드
Cloud 기반 플랫폼 개발자 모집,경기전체,씨온드림(주)
DevOps 엔지니어 (Kubernetes),서울서초구,클라우드호스피탈(주)
백엔드 엔지니어,서울강남구,(주)다이렉트클라우드랩
보안 S/W 개발 ( C/C++/C# ) 경력 정규직 채용,서울영등포구,(주)아울시스템즈
Sr. Backend Engineer,서울서초구,(주)에이아이트릭스
[파이오링크] 연구소 SW개발 전문연구요원 (병역특례) 모집,서울금천구,(주)파이오링크
[클라우드 서비스 전문기업] 백엔드엔지니어,서울강남구,(주)맨토스파워
프론트엔드 개발(탈중앙화거래소),경기전체,(주)위메이드
Back-end 개발자 채용,경기전체,가온브로드밴드(주)
Security Engineer - 차량 보안 기술 개발,,포티투닷(주)
Back-end Developer (Data Engineering),서울전체,오케스트로(주)
Security Engineer (시큐리티 엔지니어),경기전체,(주)쏘마
데브옵스 모집,서울강남구,(주)더블미디어
클라우드 솔루션 경력 개발자 모집,서울성동구,(주)맨텍
연구개발 채용 공고,대전유성구,슈어데이터랩(주)
AI기술파트 백엔드 개발자 경력직(책임급) 모집,대구수성구,(주)우경정보기술
[트랄라랩(JOYCITY 자회사)] 백엔드 엔지니어 모집,경기성남시 분당구,(주)조이시티
[코스닥 상장] (주)젬백스링크 AI 분야 개발자 경력직 채용,서울영등포구,(주)젬백스링크
Data Engineer (Cloud),서울전체,오케스트로(주)
